epoch,loss,val_loss
0,0.03363998223168648,0.031153045285296253
1,0.031102196341283056,0.031086883025847008
2,0.03106936316115669,0.03105964345755075
3,0.031055387083775168,0.031045199170471306
4,0.03104691692688198,0.031037319862092596
5,0.03104117273329774,0.03103082169262688
6,0.03103702965502457,0.031026936675773466
7,0.03103403991795878,0.03102433916214664
8,0.03103172122564775,0.031022167406175687
9,0.031029885235961813,0.031020429316685236
10,0.03102835245603808,0.031018992828894743
11,0.031027078849695047,0.031017805765025816
12,0.031025976847297645,0.031016743435940766
13,0.031025001451832623,0.031015849353478977
14,0.0310241286311628,0.031015042274525267
15,0.031023363198436755,0.03101433430487876
16,0.031022670411838434,0.03101369392852483
17,0.031022013027549034,0.031013116827401842
18,0.031021436698954564,0.031012606047223445
19,0.03102088932372298,0.031012114374448358
20,0.031020393349255177,0.031011654203367125
21,0.03101994973243053,0.031011236157630392
22,0.031019513280729306,0.031010828889005224
23,0.031019114936625188,0.031010426076868915
24,0.031018742178897267,0.031010091425216196
25,0.031018394002713435,0.031009768530946172
26,0.03101807406247802,0.031009460707820614
27,0.031017772363200843,0.03100916299902491
28,0.031017494026316053,0.031008931283074834
29,0.03101721716663558,0.031008666742530357
30,0.031016943198020834,0.031008390004537936
0,0.031014585103084753,0.03103023120633268
1,0.031013531762672568,0.03103023236962885
2,0.031013027925481187,0.031030213341210002
3,0.031012642992732462,0.031030158605190667
4,0.031012312313757184,0.03103006507526418
5,0.03101206186510056,0.031029973643258817
6,0.031011831423565245,0.031029893834716916
7,0.03101162597527144,0.031029759070102095
8,0.031011419810464767,0.031029657591240194
9,0.0310112434714746,0.03102954766718482
10,0.03101107142404477,0.031029423744387167
11,0.031010898111235082,0.031029281514808063
12,0.03101070594149883,0.031029154575756057
13,0.031010538334540726,0.03102904150087711
14,0.031010396383796417,0.031028931747895318
15,0.031010262579324814,0.031028818033466618
16,0.03101012826561485,0.031028728112796455
17,0.03100998709030216,0.03102859126877478
18,0.031009840114008213,0.031028491520882325
19,0.031009721223341224,0.03102838688882753
20,0.031009597269309658,0.031028291657873148
21,0.0310094870238482,0.03102816502121399
22,0.031009357518558635,0.031028074765672372
23,0.03100924441765528,0.031027971679024914
24,0.03100914685177199,0.031027881678510626
